,open,high,low,close,volume
20170921,7360,7410,7070,7080,224983
20170920,7690,7800,7360,7360,354604
20170919,7440,7630,7350,7590,495253
20170918,7180,7880,7180,7440,1096271
20170915,7160,7270,7000,7170,252070
20170914,7010,7590,6900,7160,1362995
20170913,7060,7070,6750,6750,364809
20170912,7800,7990,6950,7060,1849261
20170911,6980,7380,6850,7350,815744
20170908,7150,7160,6700,6980,548501
20170907,7150,7180,6970,7130,241390
20170906,7170,7380,7100,7100,579829
20170905,7010,7250,6950,7180,342453
20170904,6950,7180,6940,7000,332298
20170901,7050,7150,6950,7140,228966
20170831,7150,7230,6940,6990,362601
20170830,7020,7300,6960,7220,450568
20170829,6960,7180,6920,7040,360582
20170828,7030,7170,6910,7040,416990
20170825,7200,7350,7000,7030,464114
20170824,7510,7580,7190,7230,644912
20170823,7410,7600,7300,7340,858461
20170822,7210,7530,7100,7530,896692
20170821,7460,7480,7150,7150,508981
20170818,7390,7650,7370,7440,968792
20170817,7540,7750,7390,7600,1553434
20170816,7590,7880,7300,7560,3053285
20170814,6660,7620,6600,7600,8894326
20170811,7170,7770,6340,6450,6033683
20170810,5780,6870,5690,6410,4604658
20170809,5700,5750,5590,5690,84768
20170808,5550,5790,5500,5750,86931
20170807,5460,5610,5430,5550,49566
20170804,5520,5620,5360,5460,178241
20170803,5740,5810,5530,5630,146812
20170802,5700,5760,5650,5760,63599
20170801,5700,5810,5570,5700,110593
20170731,5560,5670,5360,5670,109246
20170728,5700,5760,5530,5560,172635
20170727,5890,5890,5730,5760,77962
20170726,6040,6090,5770,5850,190524
20170725,6140,6190,5990,6040,149679
20170724,6300,6380,6090,6140,104111
20170721,6330,6440,6210,6230,79460
20170720,6350,6550,6320,6330,170358
20170719,6200,6400,6200,6340,78364
20170718,6230,6270,6100,6180,63243
20170717,6200,6290,6160,6210,68325
20170714,6080,6250,6080,6250,100195
20170713,6200,6300,6040,6080,123210
20170712,6300,6410,6120,6150,162636
20170711,6570,6660,6300,6340,140342
20170710,6840,6840,6540,6600,160278
20170707,6820,6880,6770,6840,82158
20170706,6770,7020,6750,6820,491471
20170705,6610,6760,6540,6740,171599
20170704,6560,7150,6550,6630,1078941
20170703,6800,6800,6540,6600,142917
20170630,6700,6940,6640,6800,210460
20170629,6300,6920,6260,6740,409437
20170628,6260,6370,6210,6290,41372
